STATEFP,STATE,SLDUST,GEOID,NAMELSAD,Area,Perimeter,Polsby-Popper,Schwartzberg Radius,Schwartsberg Perimeter,Schwartzberg,Convex Hull Area,Area/Convex Hull,MBC Area,Reock
8,CO,6,8006,State Senate District 6,27518781317,852397.8765,47.59419395,93592.24085,588056.8959,68.98854539,33641828185,81.79930403,60905272057,45.18292159
8,CO,7,8007,State Senate District 7,8653340370,472809.9387,48.64297065,52482.81733,329758.9882,69.74451279,10266792988,84.28474579,22090139964,39.17286348
8,CO,8,8008,State Senate District 8,45085152736,1106678.488,46.25941179,119795.918,752699.3158,68.01427188,50138011122,89.92210047,76667617089,58.80599195
8,CO,9,8009,State Senate District 9,948084727.1,151308.9431,52.03882142,17371.96006,109151.152,72.1379383,1077675792,87.97494891,1546054544,61.32285117
8,CO,10,8010,State Senate District 10,98757903.89,49906.58677,49.82710143,5606.749834,35228.21842,70.58831449,120996099.6,81.6207334,174851887.1,56.48089108
8,CO,11,8011,State Senate District 11,98813339.54,77786.70211,20.52174826,5608.323228,35238.10434,45.30093625,153215321.5,64.49311893,332352492.9,29.73148739
8,CO,12,8012,State Senate District 12,419663386.2,157415.0127,21.28228625,11557.8163,72619.84019,46.13272835,582015318.3,72.10521321,1032411287,40.64885687
8,CO,13,8013,State Senate District 13,888371055.4,179640.4333,34.59359601,16815.99026,105657.8937,58.81632087,1070427565,82.99216912,2855760495,31.10803784
8,CO,14,8014,State Senate District 14,167016904.2,113713.6089,16.23099115,7291.308296,45812.60246,40.28770426,216070139.2,77.2975409,355218476.5,47.01807908
8,CO,15,8015,State Senate District 15,6549225520,443792.9569,41.78675352,45658.35072,286879.6361,64.64267439,7033883027,93.10967348,12452761941,52.59255377
8,CO,16,8016,State Senate District 16,2162097854,475228.7338,12.03038317,26233.9037,164832.339,34.68484276,3658642210,59.09563522,9300547904,23.24699444
